id,lon,lat,observed_on,created_at,quality_grade,ident_count,agree,taxon_id,rank
370809087,-122.9784616667,49.2365116667,2025-08-22,2026-06-11T20:09:21-07:00,needs_id,0,0,65979,species
370639952,-118.1323806394,50.8992279095,2025-08-07,2026-06-11T08:00:27-07:00,needs_id,1,1,20979,order
370639904,-118.1317805058,50.8990498559,2025-08-07,2026-06-11T08:00:16-07:00,needs_id,1,1,20979,order
362812031,-124.4494855776,48.9397090114,2025-08-03,2026-05-18T11:01:39-07:00,needs_id,1,1,787591,subfamily
352315510,-125.5810115512,48.9465814217,2025-09-24,2026-04-23T10:45:40-07:00,needs_id,0,0,25474,genus
340659624,-123.1760512,49.2247551997,2025-09-04,2026-02-28T13:30:35-08:00,needs_id,0,0,20979,order
340659597,-123.1760512,49.2247551997,2025-09-04,2026-02-28T13:30:29-08:00,needs_id,0,0,20979,order
340451800,-122.9288866667,49.24562,2025-06-01,2026-02-27T07:26:33-08:00,needs_id,0,0,25473,family
339378432,-125.776566,52.274307,2025-08-18,2026-02-19T18:57:57-08:00,needs_id,1,1,25588,species
336712941,-125.77597,52.274441,2025-08-18,2026-01-30T10:07:47-08:00,needs_id,1,1,25588,species
336712940,-125.77597,52.274441,2025-08-18,2026-01-30T10:07:47-08:00,needs_id,0,0,25474,genus
336692782,-123.1404137028,49.3039937614,2025-06-11,2026-01-30T06:39:38-08:00,needs_id,3,3,25473,family
336008163,-125.0435028333,49.6054783333,2025-07-01,2026-01-24T14:41:26-08:00,needs_id,0,0,25545,species
335877682,-116.5479509999,49.461552,2025-08-04,2026-01-23T16:08:00-07:00,needs_id,3,3,20979,order
335873059,-116.5474929999,49.457764,2025-08-04,2026-01-23T15:22:01-07:00,needs_id,1,1,25588,species
335873045,-116.546272,49.457535,2025-08-04,2026-01-23T15:21:58-07:00,needs_id,1,1,25588,species
335734990,-116.544769,49.453445,2025-08-03,2026-01-22T11:08:30-07:00,needs_id,1,1,25588,species
333536179,-121.7363919318,49.4630958667,2025-07-06,2026-01-04T19:45:03-08:00,needs_id,0,0,26721,genus
330516487,-121.9524427463,49.1991097002,2025-08-17,2025-12-12T15:55:34-08:00,needs_id,3,3,60340,genus
330475758,-115.0726386032,51.074250335,2025-08-28,2025-12-12T09:25:27-07:00,needs_id,1,1,26765,species
327625138,-127.4367916667,50.533375,2025-08-02,2025-11-21T22:41:46-08:00,needs_id,2,2,64970,species
327616973,-126.578842,50.477058,2025-06-23,2025-11-21T21:10:07-08:00,needs_id,1,1,26747,species
326293515,-126.57843,50.477196,2025-06-23,2025-11-12T22:13:08-08:00,needs_id,1,1,26718,order
326142819,-122.8666147826,49.3456088937,2025-09-01,2025-11-11T21:27:39-08:00,needs_id,0,0,27826,species
325352816,-115.3821263424,51.0805671787,2025-09-22,2025-11-07T09:25:04-07:00,needs_id,0,0,20979,order
325352814,-115.3821263424,51.0805671787,2025-09-22,2025-11-07T09:25:03-07:00,needs_id,0,0,20979,order
325286939,-125.849579,52.288311,2025-08-21,2025-11-06T19:52:20-08:00,needs_id,0,0,26747,species
323344658,-118.3507,49.015205,2025-07-31,2025-10-26T16:44:36-07:00,needs_id,0,0,25474,genus
322183272,-125.1262761946,48.826999585,2025-09-27,2025-10-20T22:38:27-07:00,needs_id,0,0,25545,species
