id,lon,lat,observed_on,created_at,quality_grade,ident_count,agree,taxon_id,rank
370834920,-122.4323283333,49.1002305,2025-06-29,2026-06-11T23:22:02-07:00,needs_id,0,0,43111,species
370834758,-122.97885,49.2321783333,2025-08-22,2026-06-11T23:20:31-07:00,needs_id,0,0,47007,species
370751560,-122.438192808,49.0804095101,2025-06-11,2026-06-11T15:16:30-07:00,needs_id,0,0,43111,species
370215777,-119.514569348,49.3001122003,2025-07-17,2026-06-09T19:36:45-07:00,needs_id,1,1,846321,tribe
368845935,-114.1062083333,49.3954083333,2025-06-13,2026-06-05T21:50:03-06:00,needs_id,1,1,46086,species
368428071,-119.3716366667,49.9661533333,2025-09-27,2026-06-04T12:18:00-07:00,needs_id,0,0,43698,order
368421517,-119.3526833333,49.217705,2025-08-29,2026-06-04T11:55:55-07:00,needs_id,0,0,40151,class
368174387,-118.662155,49.7359966667,2025-08-19,2026-06-03T15:47:05-07:00,needs_id,3,2,46265,genus
368171432,-120.1294015802,49.2006068402,2025-08-18,2026-06-03T15:33:29-07:00,needs_id,0,0,42414,species
368171389,-119.2278345106,49.5899992264,2025-08-18,2026-06-03T15:33:13-07:00,needs_id,0,0,42414,species
366896179,-121.1573721667,56.6275716667,2025-06-03,2026-05-30T19:30:26-07:00,needs_id,0,0,852462,subspecies
363463596,-125.030425,48.715205,2025-09-13,2026-05-20T13:57:17-07:00,needs_id,0,0,41755,species
363153012,-120.1409012971,50.6534147958,2025-08-14,2026-05-19T13:08:33-07:00,needs_id,0,0,225740,species
363152949,-119.1683908441,50.8019104726,2025-07-26,2026-05-19T13:08:17-07:00,needs_id,1,1,42219,genus
362947403,-125.7919367103,49.183738097,2025-08-01,2026-05-18T20:14:04-07:00,needs_id,0,0,41708,species
362063186,-126.1000391614,59.4280730551,2025-08-31,2026-05-16T10:12:06-07:00,needs_id,0,0,46260,species
361925656,-123.3442276176,48.4509594254,2025-08-26,2026-05-16T00:38:36-07:00,needs_id,0,0,46017,species
361925651,-123.3463917181,48.4610311135,2025-08-26,2026-05-16T00:38:36-07:00,needs_id,0,0,44540,genus
361199259,-115.8450816228,51.2570095122,2025-08-06,2026-05-13T11:09:52-06:00,needs_id,1,1,42043,family
360975772,-123.8549983329,48.6935250272,2025-07-16,2026-05-12T13:35:35-07:00,needs_id,0,0,46260,species
359428051,-121.4037216716,48.999970643,2025-06-15,2026-05-07T22:19:38-07:00,needs_id,0,0,41976,species
358938664,-125.2489444444,49.9927611111,2025-08-21,2026-05-06T08:24:26-07:00,needs_id,0,0,44705,species
353777282,-122.8727024132,49.0595945065,2025-09-07,2026-04-25T11:51:49-07:00,needs_id,0,0,41573,order
352463448,-123.3835727485,48.4418967169,2025-09-04,2026-04-23T20:17:16-07:00,needs_id,0,0,45994,genus
351899920,-124.2840162185,49.0761856302,2025-09-07,2026-04-21T20:57:17-07:00,needs_id,0,0,566550,subspecies
351786289,-123.6031278303,48.3822428374,2025-07-27,2026-04-21T11:43:30-07:00,needs_id,0,0,117766,subspecies
351608865,-123.1957265947,49.1716494442,2025-07-19,2026-04-20T17:59:44-07:00,needs_id,2,2,40269,family
351517140,-121.636125,56.6177583333,2025-08-15,2026-04-20T11:20:09-07:00,needs_id,0,0,45763,species
350508512,-114.1350595318,49.3638028158,2025-07-21,2026-04-17T06:59:15-06:00,needs_id,3,2,209650,tribe
350146374,-116.6961939633,51.9869523886,2025-07-25,2026-04-15T18:03:43-06:00,needs_id,0,0,225740,species
349591249,-123.1302172061,49.295915484,2025-08-21,2026-04-13T12:26:25-07:00,needs_id,1,1,41708,species
349454958,-119.8074460709,51.3244654839,2025-08-19,2026-04-12T22:22:25-07:00,needs_id,0,0,197808,genus
348753427,-117.6978541318,53.1007821104,2025-08-04,2026-04-10T11:06:47-06:00,needs_id,1,1,41637,genus
347861474,-122.865181,51.889103,2025-08-24,2026-04-06T10:32:09-07:00,needs_id,0,0,848324,superorder
347840936,-129.7310837842,59.0696267781,2025-07-23,2026-04-06T09:18:47-07:00,needs_id,0,0,41638,species
347670592,-114.0969396961,50.9912028363,2025-08-15,2026-04-05T17:07:56-06:00,needs_id,1,1,40269,family
346093271,-121.8109409,49.1157167,2025-08-16,2026-03-29T22:10:43-07:00,needs_id,0,0,225740,species
345613379,-130.2673033333,54.302155,2025-07-28,2026-03-27T22:12:44-07:00,needs_id,0,0,846301,tribe
345553921,-122.86692,51.89185,2025-08-24,2026-03-27T14:59:40-07:00,needs_id,0,0,42196,genus
344548491,-124.5200716667,49.9043616667,2025-07-26,2026-03-22T15:34:35-07:00,needs_id,0,0,179534,subfamily
344197254,-115.6256033333,49.45698,2025-06-03,2026-03-21T09:43:54-06:00,needs_id,0,0,848324,superorder
344181473,-126.696175,49.5906916667,2025-06-13,2026-03-21T07:26:52-07:00,needs_id,0,0,41573,order
344099507,-126.1426559466,49.2292689215,2025-06-30,2026-03-20T19:11:35-07:00,needs_id,0,0,42048,species
343871797,-117.8236272077,53.2150291761,2025-08-27,2026-03-19T15:20:34-06:00,needs_id,1,1,152870,order
343700351,-121.4826812409,56.1993115636,2025-07-15,2026-03-18T14:30:56-07:00,needs_id,0,0,46260,species
343385227,-122.2907805556,55.6039277778,2025-09-17,2026-03-16T15:41:53-07:00,needs_id,1,1,42044,genus
342813711,-125.858795,52.280907,2025-08-20,2026-03-13T16:05:34-07:00,needs_id,0,0,522193,species
342765188,-119.4965917,49.8863235,2025-06-04,2026-03-13T10:21:41-07:00,needs_id,0,0,1431621,species
342615586,-125.788422,52.274792,2025-08-21,2026-03-12T11:44:42-07:00,needs_id,0,0,848324,superorder
341066703,-114.7597128128,49.0544694879,2025-08-26,2026-03-03T01:21:18-07:00,needs_id,1,1,41641,species
341045389,-116.0910945,49.5602716667,2025-08-21,2026-03-02T20:35:07-07:00,needs_id,0,0,55986,family
341034423,-114.6845264683,50.9045871653,2025-09-21,2026-03-02T18:49:31-07:00,needs_id,2,2,197808,genus
340874823,-123.53022,48.4780083333,2025-06-21,2026-03-01T17:16:03-08:00,needs_id,0,0,848320,infraclass
340376318,-118.4067083333,49.0300945,2025-08-12,2026-02-26T16:32:23-08:00,needs_id,1,1,40151,class
340020764,-123.4203664582,48.3938862599,2025-09-21,2026-02-24T04:27:08-08:00,needs_id,0,0,41755,species
339475697,-114.7447138889,51.0399472222,2025-07-25,2026-02-20T13:56:55-07:00,needs_id,0,0,41573,order
339044002,-123.0580361667,49.3325783333,2025-07-22,2026-02-17T08:21:34-08:00,needs_id,1,1,44705,species
338992911,-126.581711,50.481045,2025-06-23,2026-02-16T21:36:48-08:00,needs_id,0,0,1264432,species
338992887,-126.581558,50.48003,2025-06-23,2026-02-16T21:36:43-08:00,needs_id,0,0,42220,species
338396883,-127.942642,51.616215,2025-06-03,2026-02-12T20:07:39-08:00,needs_id,0,0,42220,species
338177926,-122.8174615421,50.8992594411,2025-09-20,2026-02-11T00:06:52-08:00,needs_id,0,0,42220,species
338160846,-116.1772552,51.4253705,2025-06-05,2026-02-10T20:58:58-07:00,needs_id,3,2,197808,genus
338106101,-115.8115083333,50.1968777778,2025-06-24,2026-02-10T12:13:23-07:00,needs_id,0,0,42051,species
338093051,-114.0413273311,51.1715134302,2025-09-02,2026-02-10T10:13:24-07:00,needs_id,0,0,41777,species
337670113,-115.779502945,51.074711475,2025-08-04,2026-02-07T07:42:52-07:00,needs_id,1,1,225743,species
337669996,-120.7226321017,51.46831768,2025-07-17,2026-02-07T06:42:27-08:00,needs_id,0,0,197808,genus
337579434,-122.6810330988,54.3262229843,2025-09-20,2026-02-06T12:23:02-08:00,needs_id,0,0,46342,genus
337410074,-124.8154105,49.2348658,2025-07-22,2026-02-04T23:32:59-08:00,needs_id,3,2,41736,family
337283846,-125.5579216667,48.9390133333,2025-08-23,2026-02-03T19:34:50-08:00,needs_id,0,0,41638,species
337172648,-128.3301866667,50.777805,2025-09-15,2026-02-02T20:16:47-08:00,needs_id,0,0,41638,species
337067017,-122.144147,54.5961550997,2025-06-06,2026-02-02T00:03:05-08:00,needs_id,0,0,43794,species
337060170,-122.5797105,54.4974538,2025-06-07,2026-02-01T22:16:49-08:00,needs_id,0,0,43794,species
336715245,-125.773338,52.274391,2025-08-18,2026-01-30T10:33:04-08:00,needs_id,0,0,42158,family
336510338,-124.9814786853,48.7030820641,2025-08-04,2026-01-28T13:54:23-08:00,needs_id,0,0,41663,species
336297016,-124.6815353544,48.5917289199,2025-08-03,2026-01-26T16:39:31-08:00,needs_id,2,2,42048,species
336279654,-125.771019,52.2778929999,2025-08-19,2026-01-26T13:37:39-08:00,needs_id,1,1,522193,species
336275730,-125.776024,52.278015,2025-08-19,2026-01-26T12:55:39-08:00,needs_id,0,0,41637,genus
336208157,-128.025101,51.644939,2025-06-09,2026-01-25T23:03:57-08:00,needs_id,0,0,42220,species
336011599,-128.14888,51.640343,2025-06-06,2026-01-24T15:09:45-08:00,needs_id,0,0,42048,species
